StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q33,Q13,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q34,Q17,Q17_9_TEXT,Q20,Q22,Q22_9_TEXT,Q23,Q24_1,Q24_2,Q24_3,Q25,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_10,Q35,Q31,Q32,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q37,Q37_8_TEXT,Q38,Q39_1,Q39_2,Q2,Q3,Q3_5_TEXT,Q1,Q5,Q5_5_TEXT,country,Q37,Q7,Q8,Q9,Q40,Q40_Themes
11/16/2023 18:46,11/16/2023 19:05,IP Address,100,1140,TRUE,11/16/2023 19:05,anonymous,EN,Yes,More than 10 times a month,1,4,5,3,2,Being out in nature.,Yes,6-10 times a year,2,1,5,4,3,,,,Yes,,,,,,,11,France,Belize,Panama,Costa Rica,New Zealand,South Africa,1,4,2,6,5,3,9,8,7,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Moderately important,Very important,Extremely important,Moderately important,Very important,Very important,Very important,Extremely important,Moderately important,Moderately important,Very important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Moderately important,Very important,65 or above,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",I like seeing the common birds in my area.  The farther I get from home the more interested I am in experiencing birds I cannot see at home.  I am trying to photograph as many birds species as I can.  ,
11/16/2023 19:01,11/16/2023 19:07,IP Address,100,333,TRUE,11/16/2023 19:07,anonymous,EN,Yes,More than 10 times a month,2,1,5,3,4,,Yes,1-5 times a year,2,1,3,4,5,,,,No,"Health,Other (please specify)",I want to get my AABA list to 600.  That's been my priority.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 or above,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 18:59,11/16/2023 19:07,IP Address,100,495,TRUE,11/16/2023 19:07,anonymous,EN,Yes,1-5 times a month,1,5,5,5,3,,No,,,,,,,,"Not interested,Not enough interesting birds",,Yes,,,,,,,10,Colombia,Brazil,Ecuador,Uganda,Brazil,Colombia,1,1,1,3,1,2,5,4,3,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Very important,Very important,Slightly important,Slightly important,Very important,Very important,Moderately important,Very important,Slightly important,Moderately important,"Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$400-$600,Slightly important,Slightly important,65 or above,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$100,000 - $200,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
11/16/2023 18:52,11/16/2023 19:08,IP Address,100,912,TRUE,11/16/2023 19:08,anonymous,EN,Yes,More than 10 times a month,1,2,3,5,4,,Yes,More than 10 times a year,2,1,3,5,4,,,,Yes,,,,,,,20,Denmark,Mexico,Greece,Spain,Panama,France,5,6,2,9,8,7,3,4,1,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly alone, occasionally with a group",Moderately important,Extremely important,Very important,Extremely important,Slightly important,Moderately important,Moderately important,Not at all important,Extremely important,Very important,Slightly important,"Online search engines,Birdwatching tour company websites,Birdwatching magazines or publications",,$100-$200,Moderately important,Moderately important,55-64,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.","I travel not just to see birds-- but I always bird wherever I go. I search out green spaces and birding hotspots regardless of the destination
A fraction of my trips are ""birding only"" guided trips
Also I do lead some trips locally, nationally to internationally.",birding secondary
11/16/2023 19:09,11/16/2023 19:15,IP Address,100,350,TRUE,11/16/2023 19:15,anonymous,EN,Yes,More than 10 times a month,1,3,4,3,5,Accessibility ,Yes,1-5 times a year,1,2,4,3,5,Accessibility ,,,Yes,,,,,,,3,France,England,China,Costa Rica,New Zealand,Scotland,2,1,3,9,7,8,4,6,5,,,,,,,,,,,,,,,,,,,,65 or above,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,"$100,000 - $200,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
11/16/2023 19:06,11/16/2023 19:16,IP Address,100,582,TRUE,11/16/2023 19:16,anonymous,EN,Yes,More than 10 times a month,2,1,4,5,3,"Distance to where I live, good birding within 20 minutes is hard to beat",Yes,6-10 times a year,1,2,5,3,4,The difference between habitat type of my destination and habitat type of where I live.  ,,,No,"Cost,Other (please specify)",Not enough time,Yes,Mexico,Madagascar,Australia,0,,,,,,,2,1,5,8,7,4,3,6,9,,,,,,,,,,,,,,,,,,,,18-24,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"Less than $50,000",1-5 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:03,11/16/2023 19:16,IP Address,100,803,TRUE,11/16/2023 19:16,anonymous,EN,No,,,,,,,,Yes,6-10 times a year,1,2,5,3,4,Attending regional meetings ,,,Yes,,,,,,,15,Uganda,Tanzania,Colombia ,Finland,Antarctica,Brazil,6,2,3,5,4,1,8,7,9,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Stayed at a dedicated birdwatching/nature lodge",Always with a group,Very important,Very important,Extremely important,Moderately important,Moderately important,Extremely important,Very important,Moderately important,Slightly important,Very important,Moderately important,"Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$400-$600,Very important,Very important,65 or above,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,,More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:11,11/16/2023 19:20,IP Address,100,550,TRUE,11/16/2023 19:20,anonymous,EN,Yes,1-5 times a month,1,2,4,3,5,,Yes,1-5 times a year,1,3,5,2,4,,,,No,"Cost,Safety",,Yes,Ecuador,Australia,Colombia,0,,,,Ecuador,Australia,Colombia,3,2,5,4,9,1,6,7,8,,,,,,,,,,,,,,,,,,,,25-34,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$100,000 - $200,000",6-10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:12,11/16/2023 19:25,IP Address,100,774,TRUE,11/16/2023 19:25,anonymous,EN,Yes,More than 10 times a month,3,2,1,4,5,Complete year-round bird phenology at different sites; habitat diversity; covering poorly know areas,Yes,6-10 times a year,2,3,5,1,4,"Opportunities for photography, scenic areas",,,Yes,,,,,,,54,Colombia,Brazil,Kenya,China,Argentina,Colombia,3,2,1,9,5,6,4,7,8,Taxonomic uniqueness of communities;,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",About equally alone and with a group,Moderately important,Extremely important,Slightly important,Moderately important,Not at all important,Very important,Moderately important,Slightly important,Slightly important,Extremely important,Slightly important,"Online search engines,Birdwatching magazines or publications",,$100-$200,Very important,Very important,65 or above,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,White/Caucasian,"$200,000-$400,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",Ability to function semi-independently or with local guides in facilities run by local people is the top kind of tour I seek.,ethics
11/16/2023 19:14,11/16/2023 19:25,IP Address,100,659,TRUE,11/16/2023 19:25,anonymous,EN,Yes,6-10 times a month,1,1,2,3,5,,Yes,6-10 times a year,1,1,4,3,5,,,,No,Other (please specify),Work full time\hard to find time,Yes,Costa Rica,Australia ,Iceland,0,,,,Bahamas,Costa Rica,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55-64,Female,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:15,11/16/2023 19:26,IP Address,100,665,TRUE,11/16/2023 19:26,anonymous,EN,Yes,More than 10 times a month,5,2,4,3,1,,Yes,6-10 times a year,5,4,1,3,2,,,,Yes,,,,,,,2,Costa Rica,Ecuador ,,Peru,Kenya,Chile,9,5,4,1,2,6,8,3,7,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly alone, occasionally with a group",Extremely important,Moderately important,Very important,Very important,Not at all important,Slightly important,Extremely important,Moderately important,Moderately important,Extremely important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Social media platforms (e.g., Facebook, Instagram, Twitter)",,$200-$400,Moderately important,Very important,25-34,Male,,,Bachelor's degree/ Undergraduate degree,,United States of America,,"$50,000-$100,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:16,11/16/2023 19:28,IP Address,100,755,TRUE,11/16/2023 19:28,anonymous,EN,Yes,More than 10 times a month,4,3,1,2,5,,Yes,1-5 times a year,4,2,3,1,5,,,,Yes,,,,,,,1,Canada,,,United Kingdom,Costa Rica,Ecuador,1,6,2,3,7,4,5,8,9,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide","Mostly with a group, occasionally alone",Extremely important,Extremely important,Very important,Slightly important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,"Online search engines,Recommendations from friends or fellow birdwatchers,Social media platforms (e.g., Facebook, Instagram, Twitter),Other (please specify)",EBird barcharts and location data ,$100-$200,Moderately important,Extremely important,65 or above,Female,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,,"Less than $50,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:22,11/16/2023 19:29,IP Address,100,420,TRUE,11/16/2023 19:29,anonymous,EN,Yes,1-5 times a month,3,2,4,1,5,,Yes,1-5 times a year,3,2,4,1,5,,,,Yes,,,,,,,8,Scotland,Czech Republic,Italy,Ireland,Costa Rica,Peru,2,7,3,9,8,5,4,6,1,,,,,,,,,,,,,,,,,,,,45-54,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$100,000 - $200,000",6-10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
11/16/2023 19:17,11/16/2023 19:32,IP Address,100,928,TRUE,11/16/2023 19:32,anonymous,EN,Yes,More than 10 times a month,3,2,5,1,4,Accessibility ,Yes,More than 10 times a year,3,1,5,2,4,,,,No,Not interested,,Yes,Costa Rica ,Israel,Vietnam ,,,,,Costa Rica ,Israel,Vietnam ,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,65 or above,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 18:54,11/16/2023 19:33,IP Address,100,2329,TRUE,11/16/2023 19:33,anonymous,EN,Yes,6-10 times a month,2,2,3,2,3,,Yes,6-10 times a year,1,1,5,2,3,,,,Yes,,,,,,,10,Colombia ,Costa Rica,Uganda,Costa Rica,Brazil,Peru,2,2,1,1,1,3,5,3,3,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair",Always with a group,Very important,Very important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Birdwatching tour company websites,,,Very important,Very important,65 or above,Female,,United States of America,Master's degree,,United States of America,,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:28,11/16/2023 19:48,IP Address,100,1199,TRUE,11/16/2023 19:48,anonymous,EN,Yes,More than 10 times a month,1,3,4,2,5,Possibility of a large list (good and diverse habitat),Yes,More than 10 times a year,1,3,4,2,5,,,,Yes,,,,,,,5,Colombia,Costa Rica,Australia ,Costa Rica,Brazil,Peru,1,5,2,3,4,6,8,7,9,,"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always with a group,Extremely important,Moderately important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Slightly important,Moderately important,Moderately important,Very important,"Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Slightly important,Moderately important,65 or above,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,White/Caucasian,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 19:30,11/16/2023 19:53,IP Address,100,1368,TRUE,11/16/2023 19:53,anonymous,EN,Yes,1-5 times a month,1,2,5,3,4,,Yes,6-10 times a year,1,2,5,3,4,,,,Yes,,,,,,,48,Mongolia,Spain,Bolivia,Colombia,Canada,Italy,2,3,1,8,4,9,6,7,5,"Colorful unusual bird species, not necessarily rare but gorgeous","Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always alone,Extremely important,Extremely important,Slightly important,Moderately important,Extremely important,Extremely important,Very important,Not at all important,Moderately important,Moderately important,Moderately important,"Online search engines,Birdwatching tour company websites,Birdwatching magazines or publications,Other (please specify)",Hotspots on eBird ,$400-$600,Slightly important,Moderately important,65 or above,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.","When we bird internationally, we never go with European or US tour companies. Our goal is to stay in local hotels or rentals and use local guides with enough knowledge of English bird names that we can find the bird in a field guide. We will be in Colombia in January doing exactly that. Money is the limiting factor but we have truly enjoyed traveling and birding for 44 years. It is an instant bonding experience when locals see us watching a bird in a bush in a park or garden.",income
11/16/2023 19:52,11/16/2023 19:59,IP Address,100,411,TRUE,11/16/2023 19:59,anonymous,EN,Yes,More than 10 times a month,3,3,4,2,4,Learning what birds are thee over the course of the year.,Yes,1-5 times a year,2,5,3,5,4,,,,Yes,,,,,,,2,Mexico,Honduras,Belize,Ecuador,Colombia,Costa Rica,5,3,4,3,5,4,4,4,3,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly with a group, occasionally alone",Very important,Moderately important,Very important,Moderately important,Moderately important,Extremely important,Very important,Extremely important,Very important,Extremely important,Moderately important,"Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities",,$400-$600,Moderately important,Extremely important,55-64,Female,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$50,000-$100,000",6-10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.","Bird watching is now factored into any vacation I take, even with my SOB (Spouse of birder) who likes birds but is not obsessed with them.  He likes it while we often like to take vacations immersed in nature, that we now have a ""purpose"" or something to look for.  Yet he won't go out of his way to bird during the days of his day in/day out life. Meanwhile I love that he is interested!",
11/16/2023 19:52,11/16/2023 20:09,IP Address,100,1023,TRUE,11/16/2023 20:09,anonymous,EN,Yes,6-10 times a month,2,3,2,3,3,Just enjoying being outside and watching the birds. ,Yes,6-10 times a year,3,2,5,1,3,,,,Yes,,,,,,,5,Cuba,Panama ,Costa Rica ,Ecuador,Spain,New Zealand ,1,2,2,3,1,2,5,4,5,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair",Always with a group,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Moderately important,Very important,Very important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Birdwatching magazines or publications",,$400-$600,Very important,Extremely important,65 or above,Female,,United States of America,Master's degree,,United States of America,,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
11/16/2023 20:03,11/16/2023 20:18,IP Address,100,950,TRUE,11/16/2023 20:18,anonymous,EN,Yes,1-5 times a month,1,4,5,3,2,Photography opportunities,Yes,6-10 times a year,2,3,5,1,4,Photographic opportunities,,,Yes,,,,,,,5,Ecuador,Brazil,Paraguay,Costa Rica,Panama,Peru,2,1,3,8,5,4,6,7,9,Places with good photographic opportunities,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly alone, occasionally with a group",Very important,Extremely important,Very important,Very important,Not at all important,Very important,Very important,Extremely important,Moderately important,Moderately important,Slightly important,"Online search engines,Recommendations from friends or fellow birdwatchers,Social media platforms (e.g., Facebook, Instagram, Twitter)",,$200-$400,Moderately important,Very important,35-44,Male,,Colombia,Bachelor's degree/ Undergraduate degree,,Colombia,Hispanic or Latino,"$100,000 - $200,000",1-5 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.","If possible, I would like to get information about the results of this study, if those may be shared. Thank you very much. ",
11/16/2023 20:16,11/16/2023 20:40,IP Address,100,1383,TRUE,11/16/2023 20:40,anonymous,EN,Yes,6-10 times a month,1,4,5,3,2,Abundance of birds,Yes,6-10 times a year,2,4,5,1,3,Seeing species not found where I live that are usually lifers   ,,,Yes,,,,,,,5,Costa Rico,Cuba,Panama,Portugal,Burmuda,Bahamas,2,3,4,1,9,7,8,5,6,"Climate , ease of getting there and expense","Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Attended a bird festival/fair",Always with a group,Very important,Very important,Very important,Extremely important,Extremely important,Slightly important,Extremely important,Slightly important,Moderately important,Slightly important,Moderately important,"Online search engines,Recommendations from friends or fellow birdwatchers,Bird Fairs,Other (please specify)",Bird clubs,$200-$400,Moderately important,Moderately important,65 or above,Female,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"Less than $50,000",More than 10 years,"Casual birder -- enjoys bird watching while taking trips for other primary reasons (nature, culture, hobbies). Doesn’t necessarily keep a list and is mostly driven by the enjoyment of birds for their beauty or interesting features.","Cost, bird diversity, other birders in group",income
11/16/2023 20:43,11/16/2023 20:51,IP Address,100,436,TRUE,11/16/2023 20:51,anonymous,EN,Yes,Less than once a month,1,2,4,3,5,,Yes,1-5 times a year,3,1,5,2,4,,,,Yes,,,,,,,7,Italy,Israel,Costa Rica,Australia,India,Mexico,3,5,1,8,9,2,4,6,7,,Stayed at a dedicated birdwatching/nature lodge,"Mostly alone, occasionally with a group",Extremely important,Extremely important,Very important,Extremely important,Not at all important,Slightly important,Very important,Very important,Moderately important,Very important,Moderately important,Online search engines,,$200-$400,Very important,Extremely important,18-24,Male,,United States of America,High school or equivalent,,United States of America,Middle Eastern,"$100,000 - $200,000",6-10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
11/16/2023 20:36,11/16/2023 21:23,IP Address,100,2813,TRUE,11/16/2023 21:23,qr,EN,Yes,More than 10 times a month,3,1,5,2,4,Visiting sites of natural beauty.,Yes,1-5 times a year,3,1,4,2,5,"Visiting locations with other activities, such as hiking trails, other nature watching opportunities, and good locations to stay, with restaurants bars etc nearby ",,,Yes,,,,,,,5,Italy,Spain,United Kingdom ,Colombia ,Indonesia ,Argentina ,3,5,9,8,6,1,7,4,2,,Hired a birdwatching guide,Always alone,Extremely important,Moderately important,Extremely important,Slightly important,Not at all important,Very important,Moderately important,Slightly important,Slightly important,Extremely important,Moderately important,"Online search engines,Recommendations from friends or fellow birdwatchers,Social media platforms (e.g., Facebook, Instagram, Twitter)",,$100-$200,Extremely important,Extremely important,35-44,Female,,United Kingdom of Great Britain and Northern Ireland,Master's degree,,United States of America,White/Caucasian,"$200,000-$400,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.","My bird watching travel destination and plans are influenced by having a non birding partner, whom I travel with. Planning travel has to include activities that we both enjoy, rather than being fully directed at birding. Although I would still travel to experience a country as well as bird watch, I would focus more time bird watching if travelling alone or with other birders.
Therefore I think travel partners are a factor to be considered ",birding secondary
11/16/2023 20:36,11/16/2023 21:46,IP Address,100,4146,TRUE,11/16/2023 21:46,qrhttps://ucsantacruz.co1.qualtrics.com/jfe/form/SV_001X3MRTBByn6E6?Q_CHL=qr,EN,Yes,6-10 times a month,2,1,4,3,5,"Improving my birding skills, including birding by ear. Bird photography.",Yes,Less than once a year,3,1,5,2,4,"Seeing non-local species. Getting a vacation. Other wildlife such as mammals, butterflies, odonata.",,,Yes,,,,,,,3,Mexico ,Costa Rica,Ecuador ,Australia ,India,South Africa ,2,5,1,8,7,6,3,4,9,Cost. Not too much hiking. Not too much rain. Photo opportunities. Other wildlife such as mammals.,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",About equally alone and with a group,Extremely important,Extremely important,Very important,Very important,Moderately important,Moderately important,Very important,Extremely important,Slightly important,Moderately important,Very important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Other (please specify)",Ebird ,$200-$400,Slightly important,Slightly important,55-64,Male,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",Would really like to see more international bird festivals with bird trips like US birding festivals have.,
11/16/2023 20:36,11/16/2023 22:12,IP Address,100,5806,TRUE,11/16/2023 22:12,qr,EN,Yes,More than 10 times a month,2,1,4,5,3,,Yes,1-5 times a year,1,2,5,4,3,Going to places where a species may be more easily found for study.,,,Yes,,,,,,,18,South Africa,Zimbabwe ,Botswana,Brazil,Argentina ,Bolivia,1,2,3,4,5,6,9,8,7,"I thought about placing safety as number one, but I went to Colombia in 2014 and I relied upon the local company to design a trip where we would only be in safe areas.","Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Very important,Extremely important,Moderately important,Moderately important,Very important,Extremely important,Moderately important,Moderately important,Very important,Very important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching magazines or publications,Bird Fairs",,$200-$400,Very important,Very important,65 or above,Female,,United States of America,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
11/16/2023 23:34,11/16/2023 23:58,IP Address,100,1412,TRUE,11/16/2023 23:58,anonymous,EN,Yes,1-5 times a month,3,2,1,4,5,,Yes,More than 10 times a year,1,2,3,4,5,,,,Yes,,,,,,,8,Ecuador,Colombia,Costa Rica,Belize,Panama,Peru,3,2,1,5,6,4,7,8,9,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Extremely important,Extremely important,Extremely important,Moderately important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Extremely important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Not at all important,Not at all important,55-64,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
